,dest_x,dest_y
0,-15,-2
1,-15,-2
2,-2,10
3,-15,-2
4,-2,10
5,-2,10
6,-15,-2
7,-15,-2
8,-15,-2
9,-15,-2
10,-15,-2
11,-15,-2
12,-15,-2
13,-15,-2
14,-15,-2
15,-15,-2
16,-2,-15
17,-15,-2
18,-15,-2
19,-2,-15
20,-15,-2
21,-15,-2
22,-15,-2
23,-15,-2
24,-15,-2
25,-15,-2
26,-15,-2
27,-15,-2
28,-15,-2
29,-15,-2
30,-15,-2
31,-15,-2
32,-15,-2
33,-15,-2
34,-15,-2
35,-15,-2
36,-15,-2
37,-2,-15
38,-15,-2
39,-15,-2
40,-15,-2
41,-15,-2
42,-15,-2
43,-15,-2
44,-15,-2
45,-15,-2
46,-15,-2
47,-15,-2
48,-15,-2
49,-15,-2
50,-15,-2
51,-15,-2
52,-15,-2
53,-15,-2
54,-15,-2
55,-15,-2
56,-15,-2
57,-15,-2
58,-15,-2
59,-15,-2
60,-15,-2
61,-15,-2
62,-15,-2
63,-15,-2
64,-15,-2
65,-15,-2
66,-15,-2
67,-15,-2
68,-15,-2
69,-15,-2
70,-15,-2
71,-15,-2
72,-15,-2
73,-15,-2
74,-15,-2
75,-15,-2
76,-15,-2
77,-15,-2
78,-15,-2
79,-15,-2
80,-15,-2
81,-2,-15
82,-2,-15
83,-2,-15
84,-2,-15
85,-15,-2
86,-15,-2
87,-15,-2
88,-15,-2
89,-15,-2
90,-2,-15
91,-15,-2
92,-15,-2
93,-15,-2
94,-15,-2
95,-15,-2
96,-15,-2
97,-15,-2
98,-15,-2
99,-15,-2
100,-15,-2
101,-15,-2
102,-15,-2
103,-15,-2
104,-15,-2
105,-15,-2
106,-15,-2
107,-15,-2
108,-15,-2
109,-15,-2
110,-15,-2
111,-15,-2
112,-15,-2
113,-15,-2
114,-2,-15
115,-15,-2
116,-15,-2
117,-2,-15
118,-15,-2
119,-15,-2
120,-15,-2
121,-15,-2
122,-15,-2
123,-15,-2
124,-15,-2
125,-15,-2
126,-15,-2
127,-15,-2
128,-15,-2
129,-2,-15
130,-15,-2
131,-15,-2
132,-15,-2
133,-15,-2
134,-15,-2
135,-15,-2
136,-15,-2
137,-15,-2
138,-15,-2
139,-15,-2
140,-15,-2
141,-15,-2
142,-15,-2
143,-15,-2
144,-15,-2
145,-15,-2
146,-15,-2
147,-15,-2
148,-2,-15
149,-15,-2
150,-15,-2
151,-15,-2
152,-15,-2
153,-15,-2
154,-15,-2
155,-15,-2
156,-15,-2
157,-15,-2
158,-15,-2
159,-15,-2
160,-2,-15
161,-15,-2
162,-15,-2
163,-15,-2
164,-2,-15
165,-2,-15
166,-15,-2
167,-15,-2
168,-15,-2
169,-15,-2
170,-15,-2
171,-15,-2
172,-15,-2
173,-15,-2
174,-15,-2
175,-15,-2
176,-15,-2
177,-15,-2
178,-2,-15
179,-15,-2
180,-15,-2
181,-15,-2
182,-15,-2
183,-15,-2
184,-15,-2
185,-15,-2
186,-15,-2
187,-15,-2
188,-15,-2
189,-15,-2
190,-15,-2
191,-15,-2
192,-15,-2
193,-15,-2
194,-15,-2
195,-15,-2
196,-15,-2
197,-15,-2
198,-15,-2
199,-15,-2
200,-15,-2
201,-15,-2
202,-15,-2
203,-15,-2
